,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,day_of_week,month,time,zone
25,0,0,422,4.0,7.0,46.0,2015,41.75135862,-87.560164545,Friday,September,16,South
26,0,0,421,4.0,7.0,43.0,2015,41.752596188000005,-87.55405512600001,Thursday,September,20,South
27,0,0,123,1.0,2.0,32.0,2015,41.875367424000004,-87.627620993,Saturday,September,14,South
28,1,0,711,7.0,20.0,68.0,2015,41.782597483,-87.638879769,Saturday,September,12,West
29,0,0,1213,12.0,1.0,24.0,2015,41.901851233,-87.667456951,Friday,September,23,North
30,0,0,1124,11.0,2.0,27.0,2015,41.880252868,-87.69924661,Saturday,September,7,West
31,0,1,833,8.0,13.0,65.0,2015,41.769386857,-87.740336842,Saturday,September,9,South
32,0,0,833,8.0,13.0,65.0,2015,41.763647551999995,-87.722344693,Saturday,September,14,South
33,1,0,1722,17.0,39.0,14.0,2015,41.967448012,-87.732951137,Saturday,September,14,North
34,0,1,421,4.0,7.0,43.0,2015,41.756290353000004,-87.565108099,Wednesday,September,12,South
35,1,0,1014,10.0,24.0,29.0,2015,41.858197949,-87.723692079,Saturday,September,14,South
36,0,0,2011,20.0,40.0,2.0,2015,41.984956576,-87.69589518,Saturday,September,11,West
37,1,0,722,7.0,6.0,69.0,2015,41.770447177,-87.628299291,Saturday,September,14,South
38,1,0,2534,25.0,37.0,23.0,2015,41.903532921,-87.72940298799999,Saturday,September,14,West
